x1 y1 z1 x2 y2 z2 radius R G B time type 
-1.0639 1.4294 -17.8151 -1.0951 1.4364 -17.9098 0.0500 0.4314 0.3922 0.1961 6.1453 1.0000 
-1.0951 1.4364 -17.9098 -1.1275 1.4484 -18.0037 0.0500 0.4314 0.3922 0.1961 6.1977 1.0000 
-1.1275 1.4484 -18.0037 -1.1405 1.4681 -18.1009 0.0500 0.4314 0.3922 0.1961 6.2504 1.0000 
-1.1405 1.4681 -18.1009 -1.1927 1.4644 -18.1861 0.0500 0.4314 0.3922 0.1961 6.3034 1.0000 
-1.1927 1.4644 -18.1861 -1.1948 1.5077 -18.2762 0.0500 0.4314 0.3922 0.1961 6.3567 1.0000 
-1.1948 1.5077 -18.2762 -1.2240 1.4578 -18.3579 0.0500 0.4314 0.3922 0.1961 6.4104 1.0000 
-1.2240 1.4578 -18.3579 -1.2320 1.4419 -18.4563 0.0500 0.4314 0.3922 0.1961 6.4645 1.0000 
-1.2320 1.4419 -18.4563 -1.2342 1.4212 -18.5541 0.0500 0.4314 0.3922 0.1961 6.5189 1.0000 
-1.2342 1.4212 -18.5541 -1.2164 1.3815 -18.6441 0.0500 0.4314 0.3922 0.1961 6.5736 1.0000 
-1.2164 1.3815 -18.6441 -1.2005 1.4330 -18.7283 0.0500 0.4314 0.3922 0.1961 6.6287 1.0000 
-1.2005 1.4330 -18.7283 -1.1751 1.4821 -18.8116 0.0500 0.4314 0.3922 0.1961 6.6842 1.0000 
-1.1751 1.4821 -18.8116 -1.1595 1.5169 -18.9041 0.0500 0.4314 0.3922 0.1961 6.7401 1.0000 
-1.1595 1.5169 -18.9041 -1.1462 1.5391 -19.0006 0.0500 0.4314 0.3922 0.1961 6.7963 1.0000 
-1.1462 1.5391 -19.0006 -1.1251 1.5543 -19.0972 0.0500 0.4314 0.3922 0.1961 6.8529 1.0000 
-1.1251 1.5543 -19.0972 -1.1101 1.5638 -19.1956 0.0500 0.4314 0.3922 0.1961 6.9099 1.0000 
-1.1101 1.5638 -19.1956 -1.1063 1.5657 -19.2955 0.0500 0.4314 0.3922 0.1961 6.9673 1.0000 
-1.1063 1.5657 -19.2955 -1.1431 1.5496 -19.3871 0.0500 0.4314 0.3922 0.1961 7.0251 1.0000 
-1.1431 1.5496 -19.3871 -1.1807 1.5187 -19.4745 0.0500 0.4314 0.3922 0.1961 7.0833 1.0000 
-1.1807 1.5187 -19.4745 -1.2541 1.5411 -19.5387 0.0500 0.4314 0.3922 0.1961 7.1419 1.0000 
-1.2541 1.5411 -19.5387 -1.3268 1.5682 -19.6017 0.0500 0.4314 0.3922 0.1961 7.2009 1.0000 
-1.3268 1.5682 -19.6017 -1.3956 1.6033 -19.6653 0.0500 0.4314 0.3922 0.1961 7.2603 1.0000 
-1.3956 1.6033 -19.6653 -1.4683 1.6456 -19.7193 0.0500 0.4314 0.3922 0.1961 7.3202 1.0000 
-1.4683 1.6456 -19.7193 -1.5481 1.6515 -19.7792 0.0500 0.4314 0.3922 0.1961 7.3805 1.0000 
